Ticker	Name	CUSIP	Fama Industry	Currency	Sector	Industry	Last Updated	Prior Tickers	Ticker Change Date	Related Tickers	Exchange	SIC	Perma Ticker	Location	Delisted From	Is Foreign
KE	Kimball Electronics, Inc.	49428J109	Electronic Equipment	USD	Technology	Printed Circuit Boards	2016-11-04	None	None	None	NASDAQ	3672	176294	INDIANA, U.S.A	None	N
KEGXQ	KEY ENERGY SERVICES INC	492914106	Coal	USD	Basic Materials	Oil & Gas Equipment & Services	2016-11-19	KEG,KEGX	2016-09-27,2016-11-19	KEG,KEGX	OTCMKTS	1389	199074	TEXAS, U.S.A	None	N
KEX	KIRBY CORP	497266106	Shipping Containers	USD	Services	Shipping	2016-11-04	None	None	None	NYSE	4400	199592	TEXAS, U.S.A	None	N
KEY	KEYCORP	493267108	Banking	USD	Financial	Regional - Midwest Banks	2016-11-08	None	None	None	NYSE	6021	199345	OHIO, U.S.A	None	N
KFFB	Kentucky First Federal Bancorp	491292108	Banking	USD	Financial	Investment Brokerage - National	2016-11-15	None	None	None	NASDAQ	6035	195070	KENTUCKY, U.S.A	None	N
KFRC	KFORCE INC	049373210,493732101	Business Services	USD	Services	Staffing & Outsourcing Services	2016-11-04	None	None	None	NASDAQ	7363	197351	FLORIDA, U.S.A	None	N
KFY	KORN FERRY INTERNATIONAL	500643200	Business Services	USD	Services	Staffing & Outsourcing Services	2016-09-10	None	None	None	NYSE	7361	199591	CALIFORNIA, U.S.A	None	N
KGJI	KINGOLD JEWELRY, INC.	49579A204	Business Services	USD	Services	Business Services	2016-11-15	None	None	None	NASDAQ	7389	196304	NEW YORK, U.S.A	None	N
KIM	KIMCO REALTY CORP	49446R109	Trading	USD	Financial	REIT - Retail	2016-10-29	None	None	None	NYSE	6798	197898	NEW YORK, U.S.A	None	N
KIRK	KIRKLAND'S, INC	497498105	Retail	USD	Services	Home Furnishing Stores	2016-09-07	None	None	None	NASDAQ	5990	196647	TENNESSEE, U.S.A	None	N
KITE	Kite Pharma, Inc.	49803L109	Pharmaceutical Products	USD	Healthcare	Drugs - Generic	2016-11-10	None	None	None	NASDAQ	2836	187698	CALIFORNIA, U.S.A	None	N
KLAC	KLA TENCOR CORP	482480100	Measuring and Control Equipment	USD	Technology	Semiconductor Equipment & Materials	2016-10-21	None	None	None	NASDAQ	3827	199070	CALIFORNIA, U.S.A	None	N
KMB	KIMBERLY CLARK CORP	494368103	Business Supplies	USD	Consumer Goods	Personal Products	2016-10-25	None	None	None	NYSE	2670	199593	TEXAS, U.S.A	None	N
KMG	KMG CHEMICALS INC	482564101	Chemicals	USD	Industrial Goods	Specialty Chemicals	2016-10-15	None	None	None	NYSE	2800	196939	TEXAS, U.S.A	None	N
KMI	KINDER MORGAN, INC.	49456B101,49455P101	Utilities	USD	Basic Materials	Oil & Gas Pipelines	2016-10-22	None	None	None	NYSE	4922	192603	TEXAS, U.S.A	None	N
KMPR	KEMPER Corp	488401100	Insurance	USD	Financial	Property & Casualty Insurance	2016-11-04	None	None	UTR	NYSE	6331	198046	ILLINOIS, U.S.A	None	N
KMT	KENNAMETAL INC	489170100	Machinery	USD	Industrial Goods	Machine Tools & Accessories	2016-11-08	None	None	None	NYSE	3541	199599	PENNSYLVANIA, U.S.A	None	N
